date,day,usage
1-May-16,Sunday,397
2-May-16,Monday,161
3-May-16,Tuesday,272
4-May-16,Wednesday,466
5-May-16,Thursday,1260
6-May-16,Friday,1140
7-May-16,Saturday,713
8-May-16,Sunday,844
9-May-16,Monday,301
10-May-16,Tuesday,326
11-May-16,Wednesday,319
12-May-16,Thursday,1500
13-May-16,Friday,382
14-May-16,Saturday,4520
15-May-16,Sunday,287
16-May-16,Monday,167
17-May-16,Tuesday,461
18-May-16,Wednesday,294
19-May-16,Thursday,244
20-May-16,Friday,90.2
21-May-16,Saturday,569
22-May-16,Sunday,1270
23-May-16,Monday,577
24-May-16,Tuesday,675
25-May-16,Wednesday,567
26-May-16,Thursday,1500
27-May-16,Friday,539
28-May-16,Saturday,505
29-May-16,Sunday,2140
30-May-16,Monday,458
31-May-16,Tuesday,790